Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,doubt,Other notes
subtropicus,subtropicus,QM,JM2205,Female,Adult,"Mt Glorious 27�20'S, 152�46'E",-27.333,152.767,572,S. Van Dyck,2/09/1976,ok,ok,ok,ok,,o,MtGl
subtropicus,subtropicus,QM,JM24,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,25/06/1972,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM37,Female,Adult,Mt Glorious,-27.333,152.767,572,R. Braithwaite,20/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM47,Female,Adult,Mt Glorious Grid SEQ,-27.333,152.767,572,R. Braithwaite,7/05/1972,ok,ok,ok,ok,,o,Male?
subtropicus,subtropicus,QM,JM86,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/06/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM88,Unknown,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/06/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM89,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/06/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM91,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM92,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM93,Male,Adult?,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM95,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM96,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM97,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM99,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM19751,Male,Adult,"Mt Glorious Rd, Mt Glorious SEQ",-27.329,152.758,572,K. Hillier,15/08/2007,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM19749,Male,Adult,"End of Cedar Ck Rd, Samford",-27.32,152.783,572,Baker & Mutton,1/09/2011,ok,ok,ok,ok,,o,
stuartii,subtropicus,QM,JM1601,Female,Adult,Sunday Creek Q.,-26.733,152.5,624,D. Grossman,18/11/1973,ok,ok,ok,ok,subtropicus?,x,H193. Lactating.
subtropicus,subtropicus,QM,CDT8,Male,Adult,"Conondale NP, SEQ 26�40'38""S 152�34'22""E, 726m el.",-26.677,152.573,706,T. Mutton,21/05/2014,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM1598,Male,Adult,Kondalilla Nat. Park Q.,-26.675,152.875,244,D. Grossman / K. McDonald,28/08/1974,ok,ok,ok,ok,,o,H246
subtropicus,subtropicus,QM,JM1597,Male,Adult,Kondalilla Nat. Park Q.,-26.667,152.867,295,D. Grossman,29/05/1975,ok,ok,ok,ok,,o,H277
subtropicus,subtropicus,QM,JM15445,Female,Adult,"Mapleton Day Use Area 26�36'20""S / 152�51'17""E",-26.606,152.855,388,T + K Hickman,18/08/2001,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,BSW14,Male,Adult,"Wratten's NP, SEQ 26�17'32""S 152�19'42""E",-26.292,152.328,530,T. Mutton,4/08/2014,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,RMT11,Female,Adult,"Woondum NP, SEQ 26�16'55""S 152�49'56""E 457 m el. ",-26.282,152.832,315,T. Mutton,31/08/2014,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,J15870,Male,Adult,Woodum S. F. Gympie SEQ,-26.25,152.733,78,T. Tebble / J. Covacevich,28/08/1968,ok,ok,ok,ok,,o,Coll. In net sclerophyll. Field no. 10
stuartii,adustus?,CSIRO,CM10561,Male,Adult,Q: Atherton Tableland Severin State Forest,-17.2,145.6667,728,I. Mason + G. Richards,5/06/1981,ok,ok,ok,ok,adustus,x,rainforest
stuartii,adustus?,CSIRO,CM10562,Female,Adult,Q: Atherton Tableland Severin State Forest,-17.2,145.6667,728,I. Mason + G. Richards,1/01/1981,ok,ok,ok,ok,adustus,x,rainforest
stuartii,adustus?,CSIRO,CM10563,Male,Adult,Q: Atherton Tableland Severin State Forest,-17.2,145.6667,728,I. Mason + G. Richards,6/06/1981,ok,ok,ok,ok,adustus,x,rainforest
stuartii,agilis?,CSIRO,CM3877,Female,Adult,Tryabb. Mornington Pen VIC.,,,,K. Keith,25/04/1972,ok,ok,ok,ok,,o,Was determined as A. agilis.
subtropicus,agilis?,QM,JM2935,Female,Adult,Brindabellas,,,,C. Dickman,_,ok,ok,ok,ok,agilis? Subtropicus?,x,"qm or bust - but this will be an agilis!! If locality is correct, it should be omitted from your analysis"
