Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,doubt,Other notes
stuartii,north,CSIRO,CM2991,Male,Adult,Mebbin State Forest Via Murwillumbah Top of Spur Forty Track N.E. N.S.W.,-28.4667,153.1667,195,K. Keith,27/07/1969,ok,ok,ok,ok,,o,
stuartii,north,CSIRO,CM3713,Male,Adult,Mebbin State Forest Via Murwillumbah N.E. N.S.W.,-28.4667,153.1667,195,K. Keith,8/03/1970,ok,ok,ok,ok,,o,
stuartii,?,QM,JM3944,Male,Adult,Wollumbin N. NSW,-28.417,153.233,203,NA,21/07/1977,ok,ok,ok,ok,subtropicus? North?,x,
subtropicus,?,AM,M22782,Male,Adult,"Sheepstation Creek, 40 kms West of Murwillumbah QLD",-28.4,153.017,537,NA,11/08/1990,ok,ok,ok,ok,subtropicus?,x,
subtropicus,?,AM,M22784,Female,Adult,"Sheepstation Creek, 40 kms West of Murwillumbah QLD",-28.4,153.017,537,NA,11/08/1990,ok,ok,ok,ok,subtropicus?,x,
subtropicus,?,AM,M22785,Female,Adult,"Sheepstation Creek, 40 kms West of Murwillumbah QLD",-28.4,153.017,537,NA,11/08/1990,ok,ok,ok,ok,subtropicus?,x,Says adult but left P3 partially erupted.
stuartii,north,QM,JM21269,Male,Adult,Mt. Warning NSW.,-28.398,153.285,491,T. Y. Mutton,26/08/2012,ok,ok,ok,ok,,o,don�t know - thomas may or heather - but likely 28 23 58 S 153 16 51 E (based on thomas m thesis). MW3
stuartii,north,QM,G41,Male,Adult,Gambubal SF,-28.246,152.384,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,o,G4#1
stuartii,north,QM,G34,Female,Adult,Gambubal SF,-28.242,152.386,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,o,G3#4.
stuartii,north,QM,EA2,Female,Adult,"Best of All Lookout, Springbrook NP, SEQ",-28.241,153.265,741,E. Gray,24/07/2014,ok,ok,ok,ok,,o,
subtropicus,?,QM,J15888,Female,Adult,Emu Vale. SEQ,-28.233,152.267,563,T. Kirkpatrick,14/02/1968,ok,ok,ok,ok,subtropicus?,x,Body in spirit. Q. M. Workshop no 4818
subtropicus,?,QM,JM14417,Male,Adult,"Natural Bridge, SEQ",-28.233,153.25,741,J. R. Thompson,22/05/2000,ok,ok,ok,ok,subtropicus?,x,
stuartii,north,QM,JM21271,Female,Adult,Natural Bridge SEQ.,-28.233,153.25,741,T. Y. Mutton,25/08/2012,ok,ok,ok,ok,,o,#SP10
stuartii,?,QM,RT1,Male,Adult,"Nerang - Murwillumbah Rd near Natural Bridge, SEQ",-28.233,153.25,,R. Thomson,25/06/2013,ok,ok,ok,ok,stuartii?,x,qm or bust - dunno about this one - but you could guestimate based on description
stuartii,north,QM,JM18590,Male,Adult,"Lamington Nat. Park, Green Mtn Nat. Park office",-28.23,153.135,828,Chris Burwell,11/04/2007,ok,ok,ok,ok,,o,qm or bust - if not just use the lat long adjacent to office at green mtn as guesstimate
stuartii,north,QM,G23,Female,Adult,Gambubal SF,-28.228,152.389,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,o,G2#3
stuartii,north,QM,G27,Female,Adult,Gambubal SF,-28.228,152.389,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,o,
subtropicus,?,QM,JM1600,Male,Adult,Warrie Nat. Park Q,-28.228,153.278,741,K. McDonald,3/05/1971,ok,ok,ok,ok,subtropicus?,x,H6 Heathland of Casvarina rigida and Leptospermum sp.
stuartii,north,QM,G13,Male,Adult,Gambubal SF,-28.227,152.409,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,o,G1#3
stuartii,north,QM,JM19756,Male,Adult,"Gambubal section Main Range Nat. Park SEQ 28�13'38.7""S 152�25'32.6""E",-28.227,152.426,973,Ian Gynther,10/05/2008,ok,ok,ok,ok,,o,Originally mistakenly classified A. subtropicus. Genetically tested. Thomas genetic No. MR2. +/- 300m. AGD84. Field no: N14243.
stuartii,north,QM,MR3,Male,Adult,"Main Range NP, Gambubal Section",-28.226,152.427,973,Ian Gynther,10/05/2008,ok,ok,ok,ok,,o,N19244.
stuartii,north,QM,N19461,Male,Adult,Gambubal SF,-28.226,152.427,973,Ian Gynther,24/05/2012,ok,ok,ok,ok,,o,
